Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.6123E-18,2.0011E-17,0.02,0,0,0,10.113,0.017376,1.3248E-18,-2.583E-20,0.048968,4.6469E-19,0.063647,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,,body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_0_1,-1.3878E-17,-0.044545,-3.4694E-18,0,0,0,0.72839,0.00043937,-8.7578E-21,1.2531E-20,0.00019126,-6.4529E-20,0.00034884,0,0,0,0,0,0,package://hexapod/meshes/leg_0_1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_0_1.STL,,leg1-9,坐标系3,基准轴14,body_leg_0,revolute,0.11,-0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_0_2,1.0408E-17,0.058002,4.1633E-16,0,0,0,0.41845,0.00026275,-4.5843E-20,1.1727E-21,4.7333E-05,1.0004E-20,0.00026229,0,0,0,0,0,0,package://hexapod/meshes/leg_0_2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_0_2.STL,,leg2-9,坐标系4,基准轴17,leg_0_1_2,revolute,0,-0.08,0,3.1416,1.5708,0,leg_0_1,0,0,-1,0,0,0,0,,,,,,,,
leg_0_3,0.084869,3.0882E-05,8.1879E-16,0,0,0,0.60411,6.6228E-05,-9.4646E-08,-8.0496E-21,0.0010646,6.6317E-21,0.0010259,0,0,0,0,0,0,package://hexapod/meshes/leg_0_3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_0_3.STL,,leg3-9,坐标系5,基准轴23,leg_0_2_3,revolute,0,0.1,0,0,0,0,leg_0_2,0,0,-1,0,0,0,0,,,,,,,,
leg_1_1,8.3946E-19,-0.044545,-3.4694E-18,0,0,0,0.72839,0.00043937,-5.1676E-21,1.8426E-20,0.00019126,-5.4987E-20,0.00034884,0,0,0,0,0,0,package://hexapod/meshes/leg_1_1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_1_1.STL,,leg1-8,坐标系6,基准轴15,body_leg_1,revolute,0,-0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_1_2,3.4694E-18,0.058002,6.9159E-16,0,0,0,0.41845,0.00026275,-2.0171E-20,1.468E-21,4.7333E-05,1.2515E-22,0.00026229,0,0,0,0,0,0,package://hexapod/meshes/leg_1_2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_1_2.STL,,leg2-8,坐标系8,基准轴18,leg_1_1_2,revolute,0,-0.08,0,3.1416,1.5708,0,leg_1_1,0,0,-1,0,0,0,0,,,,,,,,
leg_1_3,0.084869,3.0882E-05,1.1215E-15,0,0,0,0.60411,6.6228E-05,-9.4646E-08,1.4558E-20,0.0010646,6.946E-21,0.0010259,0,0,0,0,0,0,package://hexapod/meshes/leg_1_3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_1_3.STL,,leg3-8,坐标系9,基准轴24,leg_1_2_3,revolute,0,0.1,0,0,0,0,leg_1_2,0,0,-1,0,0,0,0,,,,,,,,
leg_2_1,0,-0.0445450847414412,-3.46944695195361E-18,0,0,0,0.728389334455051,0.000439366489580605,-9.68414164900796E-21,1.25312997166837E-20,0.000191259700311432,-6.18146469128453E-20,0.000348844779107573,0,0,0,0,0,0,package://hexapod/meshes/leg_2_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_2_1.STL,,leg1-1,坐标系7,基准轴16,body_leg_2,revolute,-0.11,-0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_2_2,3.46944695195361E-18,0.0580015769708153,4.16333634234434E-16,0,0,0,0.418452411802267,0.000262751554672186,-2.29707246501853E-20,1.17440633782818E-21,4.73331054250092E-05,8.90910991327263E-21,0.000262289237082029,0,0,0,0,0,0,package://hexapod/meshes/leg_2_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_2_2.STL,,leg2-1,坐标系10,基准轴19,leg_2_1_2,revolute,0,-0.08,0,3.1416,1.5708,0,leg_2_1,0,0,-1,0,0,0,0,,,,,,,,
leg_2_3,0.0848685291504994,3.08818446349557E-05,8.46545056276682E-16,0,0,0,0.604107235995325,6.62284657464222E-05,-9.46460575317657E-08,-1.41036926063462E-20,0.0010645650517775,3.46274953425248E-21,0.0010258729180328,0,0,0,0,0,0,package://hexapod/meshes/leg_2_3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_2_3.STL,,leg3-1,坐标系11,基准轴25,leg_2_2_3,revolute,0,0.1,0,0,0,0,leg_2_2,0,0,-1,0,0,0,0,,,,,,,,
leg_3_1,-3.33066907387547E-16,0.0445450847414412,-3.46944695195361E-18,0,0,0,0.728389334455052,0.000439366489580605,1.73224222987974E-18,-1.04914228023895E-20,0.000191259700311432,5.99711139565986E-20,0.000348844779107574,0,0,0,0,0,0,package://hexapod/meshes/leg_3_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_3_1.STL,,leg1-7,坐标系12,基准轴11,body_leg_3,revolute,-0.11,0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_3_2,3.46944695195361E-18,0.0580015769708153,-1.52655665885959E-16,0,0,0,0.418452411802267,0.000262751554672186,-3.19297811222879E-20,-1.82686702704007E-21,4.73331054250092E-05,3.83984040313595E-21,0.000262289237082029,0,0,0,0,0,0,package://hexapod/meshes/leg_3_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_3_2.STL,,leg2-7,坐标系15,基准轴20,leg_3_1_2,revolute,0,0.08,0,0,1.5708,0,leg_3_1,0,0,-1,0,0,0,0,,,,,,,,
leg_3_3,0.0848685291504994,3.08818446349002E-05,-4.44089209850063E-16,0,0,0,0.604107235995325,6.62284657464222E-05,-9.46460575317819E-08,-1.36468729878862E-20,0.0010645650517775,1.69186859746484E-20,0.0010258729180328,0,0,0,0,0,0,package://hexapod/meshes/leg_3_3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_3_3.STL,,leg3-7,坐标系16,基准轴29,leg_3_2_3,revolute,0,0.1,0,0,0,0,leg_3_2,0,0,-1,0,0,0,0,,,,,,,,
leg_4_1,-3.10207390283982E-16,0.0445450847414412,-3.46944695195361E-18,0,0,0,0.728389334455052,0.000439366489580605,1.71212669776875E-18,-1.85376953020843E-20,0.000191259700311432,5.84109266813159E-20,0.000348844779107574,0,0,0,0,0,0,package://hexapod/meshes/leg_4_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_4_1.STL,,leg1-10,坐标系13,基准轴12,body_leg_4,revolute,0,0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_4_2,1.38777878078145E-17,0.0580015769708153,-4.44383469065972E-16,0,0,0,0.418452411802267,0.000262751554672186,-5.39530835154313E-20,1.85302270824603E-21,4.73331054250092E-05,4.22125501442446E-21,0.000262289237082029,0,0,0,0,0,0,package://hexapod/meshes/leg_4_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_4_2.STL,,leg2-10,坐标系17,基准轴21,leg_4_1_2,revolute,0,0.08,0,0,1.5708,0,leg_4_1,0,0,-1,0,0,0,0,,,,,,,,
leg_4_3,0.0848685291504994,3.08818446349279E-05,-7.27946480685188E-16,0,0,0,0.604107235995325,6.62284657464222E-05,-9.46460575317807E-08,8.79682739135738E-21,0.0010645650517775,1.06402762826064E-20,0.0010258729180328,0,0,0,0,0,0,package://hexapod/meshes/leg_4_3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_4_3.STL,,leg3-10,坐标系18,基准轴30,leg_4_2_3,revolute,0,0.1,0,0,0,0,leg_4_2,0,0,-1,0,0,0,0,,,,,,,,
leg_5_1,-3.05311331771918E-16,0.0445450847414412,-3.46944695195361E-18,0,0,0,0.728389334455052,0.000439366489580605,1.73270541333655E-18,-1.04894919526316E-20,0.000191259700311432,6.32437500027912E-20,0.000348844779107574,0,0,0,0,0,0,package://hexapod/meshes/leg_5_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_5_1.STL,,leg1-11,坐标系14,基准轴13,body_leg_5,revolute,0.11,0.06,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_5_2,1.04083408558608E-17,0.0580015769708153,-1.2490009027033E-16,0,0,0,0.418452411802267,0.000262751554672186,-5.50747586323413E-20,-1.83205374665578E-21,4.73331054250092E-05,3.64508569336397E-21,0.000262289237082029,0,0,0,0,0,0,package://hexapod/meshes/leg_5_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hexapod/meshes/leg_5_2.STL,,leg2-11,坐标系19,基准轴22,leg_5_1_2,revolute,0,0.08,0,0,1.5708,0,leg_5_1,0,0,-1,0,0,0,0,,,,,,,,
leg_5_3,0.084869,3.0882E-05,-4.4409E-16,0,0,0,0.60411,6.6228E-05,-9.4646E-08,1.4534E-22,0.0010646,1.5418E-20,0.0010259,0,0,0,0,0,0,package://hexapod/meshes/leg_5_3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://hexapod/meshes/leg_5_3.STL,,leg3-11,坐标系20,基准轴31,leg_5_2_3,revolute,0,0.1,0,0,0,0,leg_5_2,0,0,-1,0,0,0,0,,,,,,,,
